Timestamp[nanosec], gx[rad/s], gy[rad/s], gz[rad/s], ax[m/s^2], ay[m/s^2], az[m/s^2]
5042233783490,0.008781182,0.014737112,0.012599086,0.40707895,9.474082,0.06011967
5042236319844,-0.0035888306,0.012293654,0.013209951,0.3711866,9.490832,0.13908282
5042238856146,-0.01527162,0.010461059,0.011377357,0.3711866,9.490832,0.13908282
5042241392500,-0.025809037,0.00923933,0.010155627,0.3807579,9.493225,0.17736799
5042243928854,-0.03573559,0.0080176005,0.010155627,0.3400799,9.541081,0.28743783
5042246465209,-0.04130973,0.006185006,0.010155627,0.3592225,9.576974,0.3376871
5042249001511,-0.048716467,0.0043524117,0.011377357,0.3592225,9.576974,0.3376871
5042251537865,-0.052381653,0.0043524117,0.010155627,0.35682967,9.629616,0.37836507
5042254074219,-0.054901473,0.003130682,0.010766491,0.3281158,9.655936,0.37836507
5042256610521,-0.054901473,0.003130682,0.010155627,0.32333016,9.754043,0.44775695
5042259146875,-0.054290608,0.003130682,0.010766491,0.32333016,9.754043,0.44775695
5042261683229,-0.054901473,0.0025198173,0.010155627,0.3281158,9.8473625,0.46929234
5042264219584,-0.053068876,0.0037415468,0.010155627,0.31136605,9.880862,0.49082774
5042266755886,-0.049938194,0.0025198173,0.008323032,0.29461628,9.923933,0.49322057
5042269292240,-0.04497492,0.003130682,0.010155627,0.29461628,9.923933,0.49322057
5042271828594,-0.040698867,0.0037415468,0.009544762,0.31375888,9.998111,0.474078
5042274364948,-0.036346454,0.003130682,0.008933897,0.28983065,10.019646,0.45732823
5042276901302,-0.03138318,0.0037415468,0.008933897,0.28265217,10.038788,0.47168517
5042279437604,-0.026419902,0.0049632764,0.008323032,0.28265217,10.038788,0.47168517
5042281973959,-0.020845762,0.0049632764,0.009544762,0.28265217,10.045967,0.4429713
5042284510313,-0.016569708,0.0043524117,0.009544762,0.27068806,10.077073,0.42861435
5042287046615,-0.010995566,0.0049632764,0.010155627,0.2730809,10.086645,0.45014977
5042289582969,-0.0066431547,0.0049632764,0.010155627,0.2515455,10.086645,0.3999005
5042292119323,-0.002290743,0.005574141,0.0064904382,0.24197419,10.093823,0.392722
