Timestamp[nanosec],fx[px],fy[px],Frame No.,Exposure time[nanosec],Sensor frame duration[nanosec],Frame readout time[nanosec],ISO,Focal length,Focus distance,AF mode
5042190789516,2836.0657,2836.0657,45169,2898550,33333333,11896875,65,6.92,0.5117707,1
5042224084203,2836.0657,2836.0657,45170,2898550,33333333,11896875,65,6.92,0.5117707,1
5042257378943,2836.0657,2836.0657,45171,2898550,33333333,11896875,65,6.92,0.5117707,1
5042290673682,2836.0657,2836.0657,45172,2898550,33333333,11896875,65,6.92,0.5117707,1
5042323968422,2836.0657,2836.0657,45173,2898550,33333333,11896875,65,6.92,0.5117707,1
5042357263109,2836.0657,2836.0657,45174,2898550,33333333,11896875,65,6.92,0.5117707,1
5042390557849,2836.0657,2836.0657,45175,2898550,33333333,11896875,65,6.92,0.5117707,1
5042423852589,2836.0657,2836.0657,45176,2898550,33333333,11896875,65,6.92,0.5117707,1
5042457147328,2836.0657,2836.0657,45177,2898550,33333333,11896875,65,6.92,0.5117707,1
5042490442016,2836.0657,2836.0657,45178,2898550,33333333,11896875,65,6.92,0.5117707,1
5042523736755,2836.0657,2836.0657,45179,2898550,33333333,11896875,65,6.92,0.5117707,1
5042557031495,2836.0657,2836.0657,45180,2898550,33333333,11896875,65,6.92,0.5117707,1
5042590326234,2836.0657,2836.0657,45181,2898550,33333333,11896875,65,6.92,0.5117707,1
5042623620922,2836.0657,2836.0657,45182,2898550,33333333,11896875,65,6.92,0.5117707,1
5042656915661,2836.0657,2836.0657,45183,2898550,33333333,11896875,65,6.92,0.5117707,1
5042690210401,2836.0657,2836.0657,45184,2898550,33333333,11896875,65,6.92,0.5117707,1
5042723505141,2836.0657,2836.0657,45185,2898550,33333333,11896875,65,6.92,0.5117707,1
5042756799828,2836.0657,2836.0657,45186,2898550,33333333,11896875,65,6.92,0.5117707,1
5042790094568,2836.0657,2836.0657,45187,2898550,33333333,11896875,65,6.92,0.5117707,1
5042823389307,2836.0657,2836.0657,45188,2898550,33333333,11896875,65,6.92,0.5117707,1
5042856684047,2836.0657,2836.0657,45189,2898550,33333333,11896875,65,6.92,0.5117707,1
5042889978734,2836.0657,2836.0657,45190,2898550,33333333,11896875,65,6.92,0.5117707,1
5042923273474,2836.0657,2836.0657,45191,2898550,33333333,11896875,65,6.92,0.5117707,1
5042956568214,2836.0657,2836.0657,45192,2898550,33333333,11896875,65,6.92,0.5117707,1
5042989862953,2836.0657,2836.0657,45193,2898550,33333333,11896875,65,6.92,0.5117707,1
5043023157641,2836.0657,2836.0657,45194,2898550,33333333,11896875,65,6.92,0.5117707,1
5043056452380,2836.0657,2836.0657,45195,2898550,33333333,11896875,65,6.92,0.5117707,1
5043089747120,2836.0657,2836.0657,45196,2898550,33333333,11896875,65,6.92,0.5117707,1
5043123041859,2836.0657,2836.0657,45197,2898550,33333333,11896875,65,6.92,0.5117707,1
5043156336547,2836.0657,2836.0657,45198,2898550,33333333,11896875,65,6.92,0.5117707,1
5043189631286,2836.0657,2836.0657,45199,2898550,33333333,11896875,65,6.92,0.5117707,1
5043222926026,2836.0657,2836.0657,45200,2898550,33333333,11896875,65,6.92,0.5117707,1
5043256220766,2836.0657,2836.0657,45201,2898550,33333333,11896875,65,6.92,0.5117707,1
5043289515453,2836.0657,2836.0657,45202,2898550,33333333,11896875,65,6.92,0.5117707,1
5043322810193,2836.0657,2836.0657,45203,2898550,33333333,11896875,65,6.92,0.5117707,1
5043356104932,2836.0657,2836.0657,45204,2898550,33333333,11896875,65,6.92,0.5117707,1
5043389399672,2836.0657,2836.0657,45205,2898550,33333333,11896875,65,6.92,0.5117707,1
5043422694359,2836.0657,2836.0657,45206,2898550,33333333,11896875,65,6.92,0.5117707,1
5043455989099,2836.0657,2836.0657,45207,2898550,33333333,11896875,65,6.92,0.5117707,1
5043489283839,2836.0657,2836.0657,45208,2898550,33333333,11896875,65,6.92,0.5117707,1
5043522578578,2836.0657,2836.0657,45209,2898550,33333333,11896875,65,6.92,0.5117707,1
5043555873266,2836.0657,2836.0657,45210,2898550,33333333,11896875,65,6.92,0.5117707,1
5043589168005,2836.0657,2836.0657,45211,2898550,33333333,11896875,65,6.92,0.5117707,1
5043622462745,2836.0657,2836.0657,45212,2898550,33333333,11896875,65,6.92,0.5117707,1
5043655757484,2836.0657,2836.0657,45213,2898550,33333333,11896875,65,6.92,0.5117707,1
5043689052172,2836.0657,2836.0657,45214,2898550,33333333,11896875,65,6.92,0.5117707,1
5043722346911,2836.0657,2836.0657,45215,2898550,33333333,11896875,65,6.92,0.5117707,1
5043755641651,2836.0657,2836.0657,45216,2898550,33333333,11896875,65,6.92,0.5117707,1
5043788936391,2836.0657,2836.0657,45217,2898550,33333333,11896875,65,6.92,0.5117707,1
5043822231078,2836.0657,2836.0657,45218,2898550,33333333,11896875,65,6.92,0.5117707,1
5043855525818,2836.0657,2836.0657,45219,2898550,33333333,11896875,65,6.92,0.5117707,1
5043888820557,2836.0657,2836.0657,45220,2898550,33333333,11896875,65,6.92,0.5117707,1
5043922115297,2836.0657,2836.0657,45221,2898550,33333333,11896875,65,6.92,0.5117707,1
